School Name,Ensemble,Director,Year,Grade,Title,Composer/Arranger,Piece Type,Notes
Ashley High School,Concert Band,Robert A. Parker,2022,III/IV,Coast Guards March,Karl L. King/James Swearingen,March,
Ashley High School,Concert Band,Robert A. Parker,2022,IV,Flourish for Wind Band,"Vaughn Williams, Ralph",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2022,III,Encanto,"Smith, Robert W.",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2022,V,The Walking Frog,Karl L. King/Robert E. Foster,March,
Ashley High School,Wind Ensemble,Robert A. Parker,2022,V,Blessed Are They,Brahms/arr. Buehlman,MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2022,V,Raging Machines,"Balmages, Brian",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2023,III,Valley Forge,Karl L. King arranged by James Swearingen,March,
Ashley High School,Concert Band,Robert A. Parker,2023,III,Chasing Sunlight,"Nishimura, Cait",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2023,III,Canto,"McBeth, W. F.",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2023,V,Under the Double Eagle,J.F. Wagner arranged by Andrew Glover,March,
Ashley High School,Wind Ensemble,Robert A. Parker,2023,V,"Pageant, Op. 59","Persichetti, Vincent",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2023,V,Shadow Rituals,"Markowski, Michael",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2024,III,"Zia, Zia!","Smith, Claude",March,
Ashley High School,Concert Band,Robert A. Parker,2024,III,Little Suite for Band,"Standridge, Randall",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2024,III,Jungle Dance,"Balmages, Brian",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2024,V,"The March from ""1941""",John Williams/Paul Lavender,March,
Ashley High School,Wind Ensemble,Robert A. Parker,2024,V,Emperata Overture,"Smith, Claude",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2024,V,Undertow,"Mackey, John",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2025,IV,Allied Honor,Karl King ed  James Swearingen,March,
Ashley High School,Concert Band,Robert A. Parker,2025,IV,At Morning's First Light,"Gillingham, David",MPA List,
Ashley High School,Concert Band,Robert A. Parker,2025,IV,Incantations,"Smith, Robert W.",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2025,VI,Black Granite,James Hosey,March,
Ashley High School,Wind Ensemble,Robert A. Parker,2025,VI,Third Suite,"Jager, Robert",MPA List,
Ashley High School,Wind Ensemble,Robert A. Parker,2025,VI,With Heart and Voice,"Gillingham, David",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2022,II,Battle Creek March,Mark Williams,March,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2022,II,"Childhood Hymn, A","Holsinger, David",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2022,II,Engines of Resistance,"Clark, Larry",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2023,FLEX,Honor Roll March,Mark Williams,March,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2023,II,"Song For Friends, A","Daehn, Larry",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Noelle Hutcheson,2023,II,Black Forest Overture,"Sweeney, Michael",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Steve Howell,2024,II,Copper Creek March,John Edmondson,March,
Beaufort Middle School,7th and 8th Grade Band,Steve Howell,2024,II,Gates of Orion,"Sweeney, Michael",MPA List,
Beaufort Middle School,7th and 8th Grade Band,Steve Howell,2024,II,Above and Beyond,"Swearingen, James",MPA List,
Brewster Middle School,Concert Band,Beverly Goehring,2023,II,Cumberland March,Ron Cowherd,March,
Brewster Middle School,Concert Band,Beverly Goehring,2023,II,Celtic Air and Dance No. 2,"Sweeney, Michael",MPA List,
Brewster Middle School,Concert Band,Beverly Goehring,2023,II,Overlords,"O’Loughlin, Sean",MPA List,
Brewster Middle School,Concert Band,Beverly Goehring,2024,II,Plaza de Toros,Michael Story,March,
Brewster Middle School,Concert Band,Beverly Goehring,2024,II,Reflections,Feldstein/arr. Clark,MPA List,
Brewster Middle School,Concert Band,Beverly Goehring,2024,II,Carpathia,"Owens, William",MPA List,
Brewster Middle School,7th Grade Band,Beverly Goehring,2025,I,Infinity,James Curnow,March,
Brewster Middle School,7th Grade Band,Beverly Goehring,2025,I,Achievement,Feldstein/arr. Clark,MPA List,
Brewster Middle School,7th Grade Band,Beverly Goehring,2025,I,"Tempest, The","Smith, Robert W.",MPA List,
Brewster Middle School,8th Grade Band,Beverly Goehring,2025,II,March Phantasma,Randall D. Standridge,March,
Brewster Middle School,8th Grade Band,Beverly Goehring,2025,II,"Pit and the Pendulum, The","Story, Michael",MPA List,
Brewster Middle School,8th Grade Band,Beverly Goehring,2025,II,Abandoned Treasure Hunt,"Grice, Rob",MPA List,
Broad Creek Middle School,Concert Band,David B. Edmonds,2022,I,Regal March,Bruce Pearson / Chuck Elledge,March,
Broad Creek Middle School,Concert Band,David B. Edmonds,2022,I,Rising Star,"Hazo, Samuel",MPA List,
Broad Creek Middle School,Concert Band,David B. Edmonds,2022,I,"Might of Hercules, The","Williams, Mark",MPA List,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2022,II,Summit March,Harold Bennett/Larry Clark,March,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2022,II,"Scottish Ballade, A","Sheldon, Robert",MPA List,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2022,II,"Pit and the Pendulum, The","Story, Michael",MPA List,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2023,III,Activity,Harold Bennett arranged by Larry Clark,March,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2023,III,"Rowan Tree, The","Standridge, Randall",MPA List,
Broad Creek Middle School,Symphonic Band,David B. Edmonds,2023,III,Windsongs,"Shaffer, David",MPA List,
Broad Creek Middle School,7th Grade Band,David Stroud,2024,III,Marzo Zingaro,Randall Standridge,March,
Broad Creek Middle School,7th Grade Band,David Stroud,2024,III,Trails of Glory - A Western Overture,"Swearingen, James",MPA List,
Broad Creek Middle School,7th Grade Band,David Stroud,2024,III,Locksley Hall,"Del Borgo,  Elliot",MPA List,
Broad Creek Middle School,8th Grade Band,David Stroud,2024,IV,Normandy Beach,John Edmondson,March,
Broad Creek Middle School,8th Grade Band,David Stroud,2024,IV,Blue Ridge Saga,"Swearingen, James",MPA List,
Broad Creek Middle School,8th Grade Band,David Stroud,2024,IV,Scramble,"Stalter, Todd",MPA List,
Croatan High School,Concert Band,Michael Self,2022,IV/V,Marche Diabolique,Brian Balmages,March,
Croatan High School,Concert Band,Michael Self,2022,IV,Joy Revisited,"Ticheli, Frank",MPA List,
Croatan High School,Concert Band,Michael Self,2022,V,Undertow,"Mackey, John",MPA List,
Croatan High School,Wind Ensemble,Michael Self,2022,VI,Nobles of the Mystic Shrine,John Philip Sousa,March,
Croatan High School,Wind Ensemble,Michael Self,2022,VI,English Folk Song Suite,"Vaughn Williams, Ralph",MPA List,
Croatan High School,Wind Ensemble,Michael Self,2022,VI,Ride,"Hazo, Samuel",MPA List,
Croatan High School,Wind Ensemble,Michael Self,2023,VI,Ingelsina,"Davide Delle Cese, arranged John R. Bourgeois",March,
Croatan High School,Wind Ensemble,Michael Self,2023,VI,Incantation and Dance,"Chance, John",MPA List,
Croatan High School,Wind Ensemble,Michael Self,2023,VI,Suite of Old American Dances,"Bennett, Robert",MPA List,
Croatan High School,Wind Ensemble,Kinsey Holland,2024,VI,The Trombone King,Karl King/John Paynter,March,
Croatan High School,Wind Ensemble,Kinsey Holland,2024,VI,Chester Overture,"Schuman, William",MPA List,
Croatan High School,Wind Ensemble,Kinsey Holland,2024,VI,"Movement for Rosa, A","Camphouse, Mark",MPA List,
Dixon High School,Concert Band,Victor Saenz,2022,III,Coast Guards March,Karl L. King/James Swearingen,March,
Dixon High School,Concert Band,Victor Saenz,2022,III,"Joyful Journey, A","Sheldon, Robert",MPA List,
Dixon High School,Concert Band,Victor Saenz,2022,III,Arabian Dances,"Barrett, Roland",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2022,IV/V,Allied Honor March,Karl L. King/James Swearingen,March,
Dixon High School,Wind Ensemble,Victor Saenz,2022,IV,Dimensions of Seven,"Curnow, James",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2022,V,Artic Fire,"Buckley, Robert",MPA List,
Dixon High School,Concert Band,Victor Saenz,2023,III,American Legion,Charles Porter arranged by Andrew Glover,March,
Dixon High School,Concert Band,Victor Saenz,2023,III,Appalachian Morning,"Sheldon, Robert",MPA List,
Dixon High School,Concert Band,Victor Saenz,2023,III,Call of the Wild,"Balmages,  Brian",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2023,IV/V,Liberty Bell,John Phillip Sousa arranged by Jay Bocook,March,
Dixon High School,Wind Ensemble,Victor Saenz,2023,IV,Awakening Hills,"Saucedo, Richard",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2023,V,Crown of Thorns,"Giroux, Julie",MPA List,
Dixon High School,Concert Band,Victor Saenz,2024,III/IV,Capstone,Tyler Arcai,March,
Dixon High School,Concert Band,Victor Saenz,2024,III,Gadget,"Standridge, Randall",MPA List,
Dixon High School,Concert Band,Victor Saenz,2024,IV,Into the Storm,"Smith, Robert W.",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2024,V,Cornerstone,Tyler Arcari,March,
Dixon High School,Wind Ensemble,Victor Saenz,2024,V,Mount Everest,"Galante, Rossano",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2024,V,Solas Ane' (Yesterday's Joy),"Hazo, Samuel",MPA List,
Dixon High School,Concert Band,Victor Saenz,2025,III,March of the Royals,Bill Calhoun,March,
Dixon High School,Concert Band,Victor Saenz,2025,III,Chasing Sunlight,"Nishimura, Cait",MPA List,
Dixon High School,Concert Band,Victor Saenz,2025,III,To Forge the New Frontier,"Ford, Ralph",MPA List,
Dixon High School,Wind Ensemble,Victor Saenz,2025,IV/V,Washington Post,John Phillip Sousa arr  Andrew Balent,March,
Dixon High School,Wind Ensemble,Victor Saenz,2025,IV,Seagate Overture,"Swearingen, James",MPA List,
